,instances,Speed,Variability,Symmetry,Heel Press Time,Cycle Time,Cadence,Posture,Oscillation,Loading,Foot Press,Thrust,Double Support,Step Length,Step Speed,"Peak Angle Speed,",Maximum Swing Speed,Rotation Angle,Step Angle,Lift Angle,Swing Width,3D Path Length,Maximum Heel Height,Maximum Finger Tip Height,Minimum Finger Tip Height
0,0,1.32,1,4.0,1.054,1.054,1.05,1.06,0.043,0.044,0.044,0.045,0.985,0.98,1.265,1.28,0.999,1.001,4.075,4.147,114.06,113.99,114.29,113.21,4.39
1,0,1.29,0,0.9,1.119,1.137,1.06,1.065,0.406,0.567,0.05,0.055,0.81,0.85,4.365,5.66,0.984,1.016,36.297,49.905,111.21,111.3,113.21,112.68,12.09
2,0,1.25,1,-3.8,1.109,1.109,1.105,1.115,0.048,0.056,0.041,0.06,0.83,0.85,1.205,1.265,1.0,1.0,4.356,5.064,108.47,108.52,108.6,107.62,5.54
3,1,1.21,0,-6.3,1.185,1.162,1.155,1.16,0.215,0.103,0.07,0.109,0.935,0.66,2.83,1.64,1.02,0.981,18.119,8.848,102.78,104.17,103.9,103.45,9.26
4,1,1.2,1,-7.9,1.188,1.172,1.175,1.177,0.153,0.052,0.07,0.065,0.875,1.035,2.29,1.29,1.013,0.987,12.848,4.426,102.08,102.55,102.13,101.91,8.72
5,1,1.2,0,-8.4,1.235,1.213,1.165,1.165,0.567,0.406,0.075,0.09,0.89,0.68,5.635,4.345,1.018,0.982,45.902,33.499,102.13,102.7,103.0,103.0,12.0
6,2,1.37,0,1.0,1.239,1.215,1.14,1.145,0.648,0.46,0.087,0.084,0.83,1.0,6.1,4.655,1.019,0.981,52.323,37.868,102.95,102.81,105.26,104.8,13.32
7,2,1.46,0,-4.5,1.16,0.168,1.1,1.1,0.348,0.346,0.06,0.045,1.03,0.04,3.565,3.395,0.994,1.006,29.993,29.599,106.93,106.39,109.09,109.09,12.45
8,2,1.36,0,2.8,1.185,1.197,1.125,1.125,0.45,0.523,0.07,0.05,1.06,1.06,4.535,5.12,0.99,1.01,37.936,43.654,105.3,105.05,106.67,106.67,11.26
9,3,1.29,1,-4.8,1.167,1.17,1.157,1.155,0.086,0.068,0.085,0.078,0.72,0.95,1.39,1.385,0.998,1.002,7.837,5.833,103.48,102.92,103.67,103.9,9.78
10,3,1.3,1,-5.8,1.161,1.158,1.14,1.145,0.073,0.091,0.083,0.103,0.94,0.735,1.33,1.335,1.003,0.997,6.319,7.845,103.76,104.38,105.26,104.8,6.54
11,3,1.58,0,-7.4,1.114,1.093,1.045,1.035,0.56,0.401,0.055,0.069,0.95,0.94,5.14,3.99,1.018,0.982,50.277,36.633,114.13,114.08,114.83,115.94,13.42
12,4,1.45,0,0.9,1.029,1.025,0.995,0.995,0.154,0.139,0.054,0.064,0.945,0.71,2.175,1.79,1.004,0.996,14.985,13.511,117.95,118.53,120.6,120.6,9.58
13,4,1.47,0,3.5,1.039,1.064,0.985,0.98,0.34,0.626,0.06,0.066,0.94,0.425,3.635,5.825,0.976,1.025,32.764,58.79,119.32,121.93,11.83,122.45,12.16
14,4,1.49,0,1.8,1.05,1.033,0.99,0.985,0.502,0.381,0.045,0.06,0.625,0.77,4.88,3.955,1.016,0.984,47.823,36.892,120.7,120.77,121.21,121.83,15.98
15,5,1.21,1,1.3,1.14,1.134,1.14,1.135,0.059,0.069,0.065,0.04,0.985,0.72,1.325,1.27,1.006,0.994,5.197,6.089,105.51,106.35,105.26,105.73,5.51
16,5,1.15,0,-0.7,1.264,1.211,1.14,1.14,0.737,0.412,0.07,0.069,0.945,1.01,6.785,4.315,1.044,0.958,58.299,33.972,102.27,102.66,105.26,105.26,14.81
17,5,1.17,1,-1.8,1.162,1.16,1.16,1.16,0.056,0.062,0.066,0.05,0.94,0.8,1.285,1.265,1.002,0.998,4.807,5.382,103.49,103.78,103.45,103.45,5.28
18,6,1.25,1,-2.2,1.129,1.127,1.135,1.132,0.039,0.061,0.04,0.05,0.965,0.74,1.21,1.2,1.002,0.998,3.425,5.429,106.4,106.92,105.73,105.96,3.85
19,6,1.25,1,-0.1,1.127,1.127,1.14,1.13,0.044,0.045,0.03,0.025,0.9,0.86,1.19,1.185,1.0,1.0,3.897,3.988,106.63,106.64,105.26,106.19,4.72
20,6,1.27,1,1.8,1.113,1.112,1.115,1.115,0.044,0.046,0.04,0.027,0.91,0.845,1.195,1.185,1.001,0.999,3.966,4.1225,108.0,108.1,107.62,107.62,4.7
21,7,1.31,1,-2.7,1.162,1.163,1.155,1.165,0.068,0.054,0.093,0.078,0.87,0.995,1.295,1.28,0.999,1.001,5.831,4.669,103.64,103.42,103.9,103.0,6.74
22,7,1.34,1,-0.7,1.132,1.133,1.135,1.125,0.073,0.053,0.067,0.046,0.77,0.885,1.29,1.27,1.0,1.0,6.415,4.713,106.51,106.21,105.73,106.67,8.34
23,7,1.28,1,0.5,1.158,1.16,1.163,1.157,0.071,0.052,0.065,0.045,0.785,0.94,1.295,1.28,0.999,1.001,3.1,4.464,104.07,103.7,103.23,103.67,7.97
24,8,1.41,1,-4.9,1.069,1.068,1.073,1.073,0.046,0.063,0.055,0.07,0.92,0.76,1.17,1.17,1.001,0.999,4.313,5.92,112.45,112.81,111.89,11.89,4.93
25,8,1.37,0,-2.3,1.163,1.161,1.075,1.075,0.673,0.706,0.05,0.055,0.825,0.52,6.0,6.215,1.002,0.998,57.858,60.862,110.59,112.25,111.63,111.63,14.06
26,8,1.33,1,-1.3,1.118,1.123,1.125,1.125,0.73,0.058,0.06,0.07,0.725,0.945,1.205,1.23,0.996,1.004,6.568,5.158,107.94,107.16,106.67,106.67,9.33
27,9,1.18,0,-4.0,1.261,1.255,1.243,1.24,0.241,0.152,0.135,0.125,0.76,0.815,2.86,2.09,1.005,0.995,19.105,12.077,97.21,96.79,96.58,96.77,12.73
28,9,1.22,1,3.5,1.209,1.206,1.195,1.2,0.086,0.088,0.085,0.113,0.895,0.735,1.41,1.34,1.002,0.998,7.136,7.311,99.79,100.17,100.42,100.0,7.45
29,9,1.25,1,5.9,1.22,1.23,1.212,1.215,0.1,0.84,0.09,0.16,0.72,1.11,1.38,1.36,0.993,1.008,8.186,6.808,99.17,98.03,98.97,98.77,10.85
30,10,1.32,1,1.9,1.169,1.113,1.105,1.113,0.461,0.069,0.073,0.09,0.715,0.885,4.515,1.265,1.05,0.953,39.486,6.188,107.48,108.19,108.6,107.87,14.48
31,10,1.25,1,-4.6,1.119,1.117,1.115,1.123,0.066,0.076,0.09,0.07,0.915,0.69,1.25,1.24,1.002,0.998,5.911,6.778,107.57,108.03,107.62,106.9,6.51
32,10,1.24,1,-2.0,1.21,1.135,1.145,0.125,0.538,0.087,0.079,0.097,0.995,0.79,5.235,1.355,1.066,0.938,44.443,7.669,104.19,106.4,104.8,106.67,12.56
33,11,1.31,1,5.1,1.06,1.048,1.05,1.045,0.12,0.037,0.05,0.05,0.93,0.985,1.985,1.19,1.011,0.989,11.371,3.483,114.09,114.62,114.29,114.83,7.79
34,11,1.37,1,4.0,1.018,1.014,1.02,1.015,0.034,0.039,0.039,0.045,0.945,0.895,1.12,1.125,1.003,0.997,3.366,3.878,118.06,118.48,117.65,118.23,3.93
35,11,1.27,1,5.0,1.051,1.06,1.05,1.055,0.039,0.04,0.034,0.03,0.93,0.98,1.19,1.175,0.992,1.008,3.707,3.774,114.28,113.4,114.29,113.74,4.22
36,12,1.27,1,-2.8,1.08,1.078,1.075,1.07,0.054,0.053,0.062,0.061,0.98,0.935,1.32,1.295,1.002,0.998,4.979,4.955,111.41,111.58,111.63,112.15,5.29
37,12,1.26,0,-3.2,1.128,1.146,1.075,1.08,0.421,0.597,0.056,0.045,0.995,0.755,4.45,5.905,0.985,1.015,37.273,52.141,110.34,110.85,111.63,111.11,11.39
38,12,1.26,0,-3.3,1.114,1.112,1.07,1.073,0.374,0.265,0.069,0.043,0.805,0.695,4.085,2.29,1.002,0.998,33.54,23.817,111.39,110.82,112.15,111.89,12.3
39,13,1.52,1,5.26,1.036,1.032,1.032,1.03,0.029,0.056,0.035,0.03,0.91,0.655,1.1,1.105,1.004,0.996,2.755,5.417,115.97,116.79,116.22,116.5,3.32
40,13,1.39,0,-5.3,1.162,1.161,1.078,1.07,0.702,0.687,0.035,0.04,0.9,0.081,6.595,6.47,1.001,0.999,60.408,59.175,110.42,110.47,111.37,112.15,12.5
41,13,1.43,1,-5.3,1.064,1.062,1.06,1.06,0.042,0.042,0.035,0.04,0.945,0.875,1.275,0.215,1.002,0.998,3.96,3.963,112.9,113.16,113.21,113.21,4.23
42,14,1.24,0,5.6,1.189,1.19,1.115,1.11,0.584,0.569,0.034,0.03,0.805,1.015,5.715,5.61,0.999,1.001,49.066,47.774,106.53,106.1,107.62,108.11,12.9
43,14,1.22,0,7.5,1.165,1.167,1.13,1.13,0.328,0.332,0.04,0.031,0.89,0.98,3.75,3.79,0.999,1.001,28.152,28.476,105.69,105.54,106.19,106.19,10.2
44,14,1.28,1,7.4,1.114,1.111,1.115,1.11,0.038,0.049,0.036,0.035,0.93,0.8,1.195,1.175,1.002,0.998,3.381,4.387,107.88,108.26,107.62,108.11,3.93
45,15,1.34,1,-6.5,1.155,1.153,1.155,1.15,0.05,0.064,0.049,0.045,0.91,0.775,1.275,1.31,1.002,0.998,4.333,5.581,104.07,104.53,103.9,104.35,5.05
46,15,1.4,1,-7.8,1.135,1.136,1.135,1.14,0.041,0.056,0.034,0.04,0.94,0.81,1.235,1.245,1.0,1.0,3.607,4.925,105.83,105.96,105.73,105.26,4.14
47,15,1.42,0,-8.1,1.123,1.19,1.125,1.125,0.04,0.603,0.031,0.055,0.91,0.505,1.225,5.54,0.937,1.067,3.563,50.325,106.96,107.17,106.67,106.67,4.28
48,0,1.32,1,4.0,1.054,1.054,1.05,1.06,0.043,0.044,0.044,0.045,0.985,0.98,1.265,1.28,0.999,1.001,4.075,4.147,114.06,113.99,114.29,113.21,4.39
49,0,1.29,0,0.9,1.119,1.137,1.06,1.065,0.406,0.567,0.05,0.055,0.81,0.85,4.365,5.66,0.984,1.016,36.297,49.905,111.21,111.3,113.21,112.68,12.09
50,0,1.25,1,-3.8,1.109,1.109,1.105,1.115,0.048,0.056,0.041,0.06,0.83,0.85,1.205,1.265,1.0,1.0,4.356,5.064,108.47,108.52,108.6,107.62,5.54
51,1,1.21,0,-6.3,1.185,1.162,1.155,1.16,0.215,0.103,0.07,0.109,0.935,0.66,2.83,1.64,1.02,0.981,18.119,8.848,102.78,104.17,103.9,103.45,9.26
52,1,1.2,1,-7.9,1.188,1.172,1.175,1.177,0.153,0.052,0.07,0.065,0.875,1.035,2.29,1.29,1.013,0.987,12.848,4.426,102.08,102.55,102.13,101.91,8.72
53,1,1.2,0,-8.4,1.235,1.213,1.165,1.165,0.567,0.406,0.075,0.09,0.89,0.68,5.635,4.345,1.018,0.982,45.902,33.499,102.13,102.7,103.0,103.0,12.0
54,2,1.37,0,1.0,1.239,1.215,1.14,1.145,0.648,0.46,0.087,0.084,0.83,1.0,6.1,4.655,1.019,0.981,52.323,37.868,102.95,102.81,105.26,104.8,13.32
55,2,1.46,0,-4.5,1.16,0.168,1.1,1.1,0.348,0.346,0.06,0.045,1.03,0.04,3.565,3.395,0.994,1.006,29.993,29.599,106.93,106.39,109.09,109.09,12.45
56,2,1.36,0,2.8,1.185,1.197,1.125,1.125,0.45,0.523,0.07,0.05,1.06,1.06,4.535,5.12,0.99,1.01,37.936,43.654,105.3,105.05,106.67,106.67,11.26
57,3,1.29,1,-4.8,1.167,1.17,1.157,1.155,0.086,0.068,0.085,0.078,0.72,0.95,1.39,1.385,0.998,1.002,7.837,5.833,103.48,102.92,103.67,103.9,9.78
58,3,1.3,1,-5.8,1.161,1.158,1.14,1.145,0.073,0.091,0.083,0.103,0.94,0.735,1.33,1.335,1.003,0.997,6.319,7.845,103.76,104.38,105.26,104.8,6.54
59,3,1.58,0,-7.4,1.114,1.093,1.045,1.035,0.56,0.401,0.055,0.069,0.95,0.94,5.14,3.99,1.018,0.982,50.277,36.633,114.13,114.08,114.83,115.94,13.42
60,4,1.45,0,0.9,1.029,1.025,0.995,0.995,0.154,0.139,0.054,0.064,0.945,0.71,2.175,1.79,1.004,0.996,14.985,13.511,117.95,118.53,120.6,120.6,9.58
61,4,1.47,0,3.5,1.039,1.064,0.985,0.98,0.34,0.626,0.06,0.066,0.94,0.425,3.635,5.825,0.976,1.025,32.764,58.79,119.32,121.93,11.83,122.45,12.16
62,4,1.49,0,1.8,1.05,1.033,0.99,0.985,0.502,0.381,0.045,0.06,0.625,0.77,4.88,3.955,1.016,0.984,47.823,36.892,120.7,120.77,121.21,121.83,15.98
63,5,1.21,1,1.3,1.14,1.134,1.14,1.135,0.059,0.069,0.065,0.04,0.985,0.72,1.325,1.27,1.006,0.994,5.197,6.089,105.51,106.35,105.26,105.73,5.51
64,5,1.15,0,-0.7,1.264,1.211,1.14,1.14,0.737,0.412,0.07,0.069,0.945,1.01,6.785,4.315,1.044,0.958,58.299,33.972,102.27,102.66,105.26,105.26,14.81
65,5,1.17,1,-1.8,1.162,1.16,1.16,1.16,0.056,0.062,0.066,0.05,0.94,0.8,1.285,1.265,1.002,0.998,4.807,5.382,103.49,103.78,103.45,103.45,5.28
66,6,1.25,1,-2.2,1.129,1.127,1.135,1.132,0.039,0.061,0.04,0.05,0.965,0.74,1.21,1.2,1.002,0.998,3.425,5.429,106.4,106.92,105.73,105.96,3.85
67,6,1.25,1,-0.1,1.127,1.127,1.14,1.13,0.044,0.045,0.03,0.025,0.9,0.86,1.19,1.185,1.0,1.0,3.897,3.988,106.63,106.64,105.26,106.19,4.72
68,6,1.27,1,1.8,1.113,1.112,1.115,1.115,0.044,0.046,0.04,0.027,0.91,0.845,1.195,1.185,1.001,0.999,3.966,4.1225,108.0,108.1,107.62,107.62,4.7
69,7,1.31,1,-2.7,1.162,1.163,1.155,1.165,0.068,0.054,0.093,0.078,0.87,0.995,1.295,1.28,0.999,1.001,5.831,4.669,103.64,103.42,103.9,103.0,6.74
70,7,1.34,1,-0.7,1.132,1.133,1.135,1.125,0.073,0.053,0.067,0.046,0.77,0.885,1.29,1.27,1.0,1.0,6.415,4.713,106.51,106.21,105.73,106.67,8.34
71,7,1.28,1,0.5,1.158,1.16,1.163,1.157,0.071,0.052,0.065,0.045,0.785,0.94,1.295,1.28,0.999,1.001,3.1,4.464,104.07,103.7,103.23,103.67,7.97
72,8,1.41,1,-4.9,1.069,1.068,1.073,1.073,0.046,0.063,0.055,0.07,0.92,0.76,1.17,1.17,1.001,0.999,4.313,5.92,112.45,112.81,111.89,11.89,4.93
73,8,1.37,0,-2.3,1.163,1.161,1.075,1.075,0.673,0.706,0.05,0.055,0.825,0.52,6.0,6.215,1.002,0.998,57.858,60.862,110.59,112.25,111.63,111.63,14.06
74,8,1.33,1,-1.3,1.118,1.123,1.125,1.125,0.73,0.058,0.06,0.07,0.725,0.945,1.205,1.23,0.996,1.004,6.568,5.158,107.94,107.16,106.67,106.67,9.33
75,9,1.18,0,-4.0,1.261,1.255,1.243,1.24,0.241,0.152,0.135,0.125,0.76,0.815,2.86,2.09,1.005,0.995,19.105,12.077,97.21,96.79,96.58,96.77,12.73
76,9,1.22,1,3.5,1.209,1.206,1.195,1.2,0.086,0.088,0.085,0.113,0.895,0.735,1.41,1.34,1.002,0.998,7.136,7.311,99.79,100.17,100.42,100.0,7.45
77,9,1.25,1,5.9,1.22,1.23,1.212,1.215,0.1,0.84,0.09,0.16,0.72,1.11,1.38,1.36,0.993,1.008,8.186,6.808,99.17,98.03,98.97,98.77,10.85
78,10,1.32,1,1.9,1.169,1.113,1.105,1.113,0.461,0.069,0.073,0.09,0.715,0.885,4.515,1.265,1.05,0.953,39.486,6.188,107.48,108.19,108.6,107.87,14.48
79,10,1.25,1,-4.6,1.119,1.117,1.115,1.123,0.066,0.076,0.09,0.07,0.915,0.69,1.25,1.24,1.002,0.998,5.911,6.778,107.57,108.03,107.62,106.9,6.51
80,10,1.24,1,-2.0,1.21,1.135,1.145,0.125,0.538,0.087,0.079,0.097,0.995,0.79,5.235,1.355,1.066,0.938,44.443,7.669,104.19,106.4,104.8,106.67,12.56
81,11,1.31,1,5.1,1.06,1.048,1.05,1.045,0.12,0.037,0.05,0.05,0.93,0.985,1.985,1.19,1.011,0.989,11.371,3.483,114.09,114.62,114.29,114.83,7.79
82,11,1.37,1,4.0,1.018,1.014,1.02,1.015,0.034,0.039,0.039,0.045,0.945,0.895,1.12,1.125,1.003,0.997,3.366,3.878,118.06,118.48,117.65,118.23,3.93
83,11,1.27,1,5.0,1.051,1.06,1.05,1.055,0.039,0.04,0.034,0.03,0.93,0.98,1.19,1.175,0.992,1.008,3.707,3.774,114.28,113.4,114.29,113.74,4.22
84,12,1.27,1,-2.8,1.08,1.078,1.075,1.07,0.054,0.053,0.062,0.061,0.98,0.935,1.32,1.295,1.002,0.998,4.979,4.955,111.41,111.58,111.63,112.15,5.29
85,12,1.26,0,-3.2,1.128,1.146,1.075,1.08,0.421,0.597,0.056,0.045,0.995,0.755,4.45,5.905,0.985,1.015,37.273,52.141,110.34,110.85,111.63,111.11,11.39
86,12,1.26,0,-3.3,1.114,1.112,1.07,1.073,0.374,0.265,0.069,0.043,0.805,0.695,4.085,2.29,1.002,0.998,33.54,23.817,111.39,110.82,112.15,111.89,12.3
87,13,1.52,1,5.26,1.036,1.032,1.032,1.03,0.029,0.056,0.035,0.03,0.91,0.655,1.1,1.105,1.004,0.996,2.755,5.417,115.97,116.79,116.22,116.5,3.32
88,13,1.39,0,-5.3,1.162,1.161,1.078,1.07,0.702,0.687,0.035,0.04,0.9,0.081,6.595,6.47,1.001,0.999,60.408,59.175,110.42,110.47,111.37,112.15,12.5
89,13,1.43,1,-5.3,1.064,1.062,1.06,1.06,0.042,0.042,0.035,0.04,0.945,0.875,1.275,0.215,1.002,0.998,3.96,3.963,112.9,113.16,113.21,113.21,4.23
90,14,1.24,0,5.6,1.189,1.19,1.115,1.11,0.584,0.569,0.034,0.03,0.805,1.015,5.715,5.61,0.999,1.001,49.066,47.774,106.53,106.1,107.62,108.11,12.9
91,14,1.22,0,7.5,1.165,1.167,1.13,1.13,0.328,0.332,0.04,0.031,0.89,0.98,3.75,3.79,0.999,1.001,28.152,28.476,105.69,105.54,106.19,106.19,10.2
92,14,1.28,1,7.4,1.114,1.111,1.115,1.11,0.038,0.049,0.036,0.035,0.93,0.8,1.195,1.175,1.002,0.998,3.381,4.387,107.88,108.26,107.62,108.11,3.93
93,15,1.34,1,-6.5,1.155,1.153,1.155,1.15,0.05,0.064,0.049,0.045,0.91,0.775,1.275,1.31,1.002,0.998,4.333,5.581,104.07,104.53,103.9,104.35,5.05
94,15,1.4,1,-7.8,1.135,1.136,1.135,1.14,0.041,0.056,0.034,0.04,0.94,0.81,1.235,1.245,1.0,1.0,3.607,4.925,105.83,105.96,105.73,105.26,4.14
95,15,1.42,0,-8.1,1.123,1.19,1.125,1.125,0.04,0.603,0.031,0.055,0.91,0.505,1.225,5.54,0.937,1.067,3.563,50.325,106.96,107.17,106.67,106.67,4.28
